IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,tasa_2023_2,pred_2024_1,real_2024_1,pred_2024_2,real_2024_2,tendencia,nivel_riesgo,en_aumento
1107,boyaca,duitama,Universidad,Oficial,4.28,6.83,4.35,7.72,3.42,2.55,Bajo,True
1702,valle del cauca,cali,Universidad,No oficial,4.07,6.79,6.0,7.75,4.91,2.72,Bajo,True
1828,valle del cauca,cali,Universidad,No oficial,3.28,6.66,3.09,7.67,3.71,3.38,Bajo,True
2730,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,3.73,6.63,4.2,7.52,4.75,2.9,Bajo,True
2704,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,4.49,6.63,3.59,7.52,2.99,2.14,Bajo,True
2702,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,4.07,6.63,4.43,7.52,5.5,2.56,Bajo,True
2709,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,4.64,6.63,6.42,7.59,6.13,1.99,Bajo,True
1101,bogota d c,bogota dc,Universidad,Oficial,4.58,6.61,6.05,7.5,4.79,2.03,Bajo,True
1714,bogota d c,bogota dc,Universidad,No oficial,4.38,6.58,7.67,7.49,5.56,2.2,Bajo,True
1701,bogota d c,bogota dc,Universidad,No oficial,4.46,6.58,4.72,7.42,4.91,2.12,Bajo,True
1113,cordoba,monteria,Universidad,Oficial,3.96,6.57,3.63,7.42,3.76,2.61,Bajo,True
1727,cordoba,monteria,Universidad,No oficial,4.0,6.53,5.32,7.33,5.45,2.53,Bajo,True
2707,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,2.11,6.47,2.57,7.46,2.08,4.36,Bajo,True
1813,bogota d c,bogota dc,Universidad,No oficial,3.18,6.42,2.64,7.29,3.35,3.24,Bajo,True
1711,cundinamarca,chia,Universidad,No oficial,3.54,6.24,3.42,7.11,3.03,2.7,Bajo,True
3902,cundinamarca,nilo,Institución tecnológica,Oficial,2.36,5.6,5.03,6.66,3.8,3.24,Bajo,True
