AREA;NUCLEO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA ADMNISTRATIVA Y AFINES;MATRICULADOS;1879;1294;1946;2310;3211;3738;4644;4342;4575;4979;5222;5092;5078;4713;4571;4373;4048;3900;4071;4031;4249;4247;5440;4755;5608;4982;4878;4967;5463;5114;4890;4848;5076;4568;4745;4781;5128;5139;4992;4965;4786;4589;4454;4132;3753;3793;3900;3482;3306;3200;3112;2926;2496;2461
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AGRICOLA, FORESTAL Y AFINES";MATRICULADOS;259;316;581;667;825;935;1185;1315;1442;1684;1717;2041;2287;2415;2614;2604;2723;2894;3430;3678;3956;4374;4925;4922;5353;5233;5882;5824;6267;6399;6626;6476;6374;6184;6671;6519;6690;6716;6755;6641;6525;6825;6723;6743;5992;6881;7714;7625;7873;8000;8151;8177;6710;7121
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES";MATRICULADOS;1442;1843;2342;2663;3236;3679;4031;4127;4754;5023;5596;5779;6081;6351;5556;5895;6182;6355;7067;7460;7450;7741;7894;8133;8693;8461;8172;8708;9117;8858;8977;9167;9475;9310;9819;9269;10884;10676;10895;11181;12033;12608;12998;13929;15004;16039;18832;19284;19089;19453;16935;17430;13365;14976
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AGRONOMICA, PECUARIA Y AFINES";MATRICULADOS;1166;1261;1693;2001;2238;2722;3125;3211;3523;3792;4028;4358;4464;4719;4938;4581;5026;5240;5678;5494;5400;5731;5903;6131;6155;6144;6784;6686;7137;7403;7949;7872;8168;8081;8325;8338;8491;8557;8513;8644;8495;8515;9057;10052;10999;11395;12080;12536;11650;12408;10886;11349;9193;10039
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA CIVIL Y AFINES;MATRICULADOS;5131;6290;8310;9391;10564;12268;13861;14016;14920;15754;17205;16817;17414;17273;17383;17011;17510;17480;21056;21093;23361;24616;27456;28544;31320;32357;37527;40496;46116;48744;53829;54874;59299;60064;65194;66720;71170;73318;73532;74140;71177;71369;69087;67344;61576;58013;59192;56593;55436;52942;51940;49334;42673;41928
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA DE MINAS, METALURGIA Y AFINES";MATRICULADOS;417;456;861;1032;1083;1664;1975;2024;2664;2962;3239;3607;3414;4090;4314;4563;4738;5082;5381;5467;5720;5857;6219;6321;6686;6486;7857;7892;8662;9010;9827;10606;10341;11561;11983;11303;10724;10469;9603;9004;8234;8013;7494;7403;5661;6272;6180;6188;5522;5356;5153;5067;3970;3983
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";MATRICULADOS;12753;14596;20209;21934;28302;31198;38185;38419;45374;45750;49991;49866;50730;49879;49849;46555;49152;46192;58344;58826;64585;63766;68964;67830;73808;70495;79850;80787;84762;90424;102920;108914;111213;111774;121621;118863;118568;120897;119161;125572;120796;131541;124080;132511;126643;133371;149701;162852;156238;160389;145302;150948;108581;120742
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA ELECTRICA Y AFINES;MATRICULADOS;964;1246;2015;2441;3026;3467;4155;4140;4926;4209;5330;5615;5529;6135;6301;6351;6513;6840;8217;8270;8926;9093;9608;9890;10537;10337;13059;15127;16287;18304;19947;21867;22233;22402;23254;22842;21338;22464;21109;22186;20739;22384;20233;21736;19262;20570;18883;19495;17889;18402;16712;17157;13414;14733
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES";MATRICULADOS;4215;5867;9041;11089;14650;16582;20580;20224;24150;25365;29365;29011;29698;29837;32031;30282;32030;30958;36153;35853;38567;37922;41184;39943;42691;40135;46456;43175;48090;44477;46414;44435;45135;42905;45435;43879;45432;42254;42774;40512;40568;39220;41573;42528;43615;42081;45198;47425;45819;45541;44286;43392;34676;36832
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA INDUSTRIAL Y AFINES;MATRICULADOS;9182;10198;13383;14721;17483;19021;21722;22625;25534;27173;29449;30674;31415;32519;33773;33854;36220;37634;44174;46085;52635;54052;62335;64060;69944;70382;77868;79947;87625;91736;96367;99711;101309;100080;103885;104649;108039;103152;103320;99754;98922;97122;96875;94212;92524;87568;90208;87983;87863;85034;85542;82418;67835;70335
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA MECANICA Y AFINES;MATRICULADOS;2983;3398;4938;5243;6489;7459;9167;8979;11418;11110;13506;13760;14025;14998;16244;15518;16679;16425;20966;21241;23670;22974;24284;25482;28323;27853;32670;36700;39025;44328;48410;52162;53994;53950;56884;57553;55872;58650;57502;60084;53695;55517;52154;53897;49434;49864;48233;48986;45831;46625;41934;41992;33120;34808
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA QUIMICA Y AFINES;MATRICULADOS;1178;998;1651;2049;2701;3118;3730;3807;4779;4929;5390;6027;5924;6676;6913;6848;7084;6987;7480;7511;7769;7791;7921;7854;8390;7788;9870;10304;11267;11872;12777;13246;13560;13540;13807;13740;13804;14279;14248;14208;13338;13758;13645;14229;13779;15641;17186;16641;19353;20131;20786;20951;16552;19708
"Ingeniería, arquitectura, urbanismo y afines";OTRAS INGENIERIAS;MATRICULADOS;654;801;992;1205;1472;2068;2194;2207;1975;2027;2414;2428;2719;2878;2697;2634;2763;2919;2771;2515;2926;2901;3201;3138;3518;3704;4789;8822;5241;6911;7205;6828;7436;7598;8721;8731;8798;9138;9197;9331;9232;9616;9429;9084;7731;7204;6921;6743;6678;6484;6647;6298;5429;5578
Matemáticas y ciencias naturales;"BIOLOGIA, MICROBIOLOGIA Y AFINES";MATRICULADOS;1192;1597;2359;2962;3401;4197;5167;5512;6237;6800;7223;8179;9000;9414;9455;10144;10546;10423;11294;11379;11513;11496;11952;11831;12649;12038;13041;12946;13271;12752;13441;13175;13849;13384;14071;14167;15029;14609;14836;14348;14882;14956;15818;15093;15743;15064;17522;15919;18058;17494;18049;17487;15302;15859
Matemáticas y ciencias naturales;FISICA;MATRICULADOS;201;195;339;457;538;702;824;905;994;1123;1134;1270;1290;1337;1129;1422;1435;1481;1567;1580;1574;1502;1431;1590;1595;1425;1855;1842;1912;1911;2034;2129;2316;2340;2457;2557;2778;2718;2827;2889;2996;3117;3195;2574;3344;3678;3938;3688;4114;3471;4229;4077;3513;3668
Matemáticas y ciencias naturales;"GEOLOGIA, OTROS PROGRAMAS DE CIENCIAS NATURALES";MATRICULADOS;55;65;104;124;171;239;301;348;399;473;533;667;692;700;723;756;821;801;894;939;983;999;1039;1071;1210;1340;1915;2380;3088;3544;4248;4938;5499;6135;6855;7207;6688;7602;7184;7659;6240;7227;5725;5647;3961;3283;2991;2938;2705;2717;2587;2542;2188;2167
Matemáticas y ciencias naturales;"MATEMATICAS, ESTADISTICA Y AFINES";MATRICULADOS;329;389;606;927;1264;1390;1555;1642;1674;1784;1960;2279;2283;2477;2336;2551;2698;2809;3097;3105;3176;3213;3277;3441;3707;3414;3850;3747;3975;3835;3898;3765;4046;3997;4304;4260;4609;4440;4603;4504;4883;4921;5402;4950;5127;5946;6698;6201;6881;6510;6917;6686;5658;5787
Matemáticas y ciencias naturales;QUIMICA Y AFINES;MATRICULADOS;306;479;753;1126;1519;1922;2180;2619;2788;3155;3367;3801;4068;4346;3357;4710;4930;4981;5179;5176;5538;5599;5545;5860;6222;6027;6226;7512;8286;8701;9589;10443;9818;10279;11274;10534;10535;10835;10615;11057;10764;11139;10974;10987;11370;11424;12382;12390;13191;13174;13245;13308;11173;11963
Sin Clasificar;SIN CLASIFICAR;MATRICULADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;170;9728;23792;45454;78620;133512;186950;275555;213282;303881
