ACADE;FINAN;CI_RECI;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
4 a 6;1 a 3;1 a 3;MATRICULADOS;3;7;12;14;20;24;35;34;39;42;66;73;96;111;120;125;141;149;172;179;197;223;251;283;314;311;356;383;412;508;544;626;764;973;1235;1543;2108;2330;2340;2283;2230;2142;2038;1882;1655;1368;1052;776;617;480;411;311;243;199
4 a 6;1 a 3;4 a 6;MATRICULADOS;;;;2;3;4;14;10;8;5;18;19;34;39;53;61;74;70;92;96;114;129;154;178;208;217;267;306;343;396;431;500;613;832;1100;1101;1126;1128;1090;1042;989;914;795;631;485;356;280;205;169;141;107;89;80;63
4 a 6;1 a 3;M¿s de 7;MATRICULADOS;1;;;;3;1;2;2;2;3;8;9;21;28;38;42;57;66;86;101;132;151;188;207;253;277;322;361;438;487;533;507;501;480;438;413;385;355;288;216;144;113;83;69;60;49;41;34;33;33;28;16;16;15
4 a 6;4 a 6;Sin Informaci¿n;MATRICULADOS;;;1;1;1;1;1;1;;1;3;8;9;12;13;13;16;19;33;37;40;42;49;57;61;57;64;61;58;69;79;112;118;107;102;100;97;87;78;59;53;42;33;30;24;26;20;17;20;23;20;15;19;15
4 a 6;4 a 6;Ninguno;MATRICULADOS;46;45;95;113;154;200;233;243;253;236;320;343;438;529;754;876;1038;1106;1156;1218;1431;1606;1905;2065;2278;2456;2765;2963;3259;3512;4113;4539;5480;6129;8093;9340;12087;13708;16889;19046;23090;25906;31751;34657;35161;42893;45967;53810;62421;66078;69167;63521;56345;49176
4 a 6;4 a 6;1 a 3;MATRICULADOS;6;9;13;14;16;18;30;30;35;39;47;46;58;60;71;88;95;99;98;104;114;114;131;141;170;166;203;236;261;271;345;362;424;494;671;851;1043;1094;1125;1115;1120;1085;1076;1009;848;865;807;767;741;696;659;573;468;392
4 a 6;4 a 6;4 a 6;MATRICULADOS;;;;;2;4;6;7;8;7;14;16;23;33;43;48;56;59;87;106;124;129;143;153;168;168;192;240;267;271;327;366;461;561;714;683;671;667;606;566;513;471;402;346;265;262;263;263;230;212;204;173;140;109
4 a 6;4 a 6;M¿s de 7;MATRICULADOS;;;1;1;2;3;4;3;4;3;5;5;15;26;33;34;48;60;83;95;116;129;151;175;188;195;218;246;277;290;327;313;297;281;251;231;218;178;127;109;77;60;36;36;34;38;43;46;46;42;41;30;25;26
4 a 6;M¿s de 7;Sin Informaci¿n;MATRICULADOS;;;;;;;;;;;1;1;1;2;3;6;9;9;13;11;19;19;34;37;44;51;57;67;80;87;117;139;137;129;124;116;112;106;93;79;60;36;24;20;10;10;9;8;8;9;10;6;4;4
4 a 6;M¿s de 7;Ninguno;MATRICULADOS;40;55;86;100;134;140;158;168;167;168;195;254;283;351;473;579;808;967;1179;1297;1604;1869;2269;2551;2991;2497;3522;3791;4594;4847;5494;5819;6463;6730;7494;7586;9000;9550;10887;11718;13856;15510;17565;18656;20545;20042;22092;21007;19560;17775;15783;13785;11656;9331
