lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
13.22,13.34,21.79,24.96,2,Institución tecnológica,No oficial,norte de santander,cucuta
13.34,21.79,24.96,8.67,1,Institución tecnológica,No oficial,norte de santander,cucuta
21.79,24.96,8.67,9.56,2,Institución tecnológica,No oficial,norte de santander,cucuta
24.96,8.67,9.56,7.87,1,Institución tecnológica,No oficial,norte de santander,cucuta
0.0,0.0,26.98,30.43,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
0.0,26.98,30.43,39.6,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
26.98,30.43,39.6,44.04,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
30.43,39.6,44.04,32.26,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
39.6,44.04,32.26,43.03,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
44.04,32.26,43.03,32.37,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
32.26,43.03,32.37,51.81,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
43.03,32.37,51.81,32.2,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
32.37,51.81,32.2,1.76,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
51.81,32.2,1.76,16.06,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
32.2,1.76,16.06,20.77,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
1.76,16.06,20.77,12.74,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
16.06,20.77,12.74,22.08,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
20.77,12.74,22.08,25.71,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
12.74,22.08,25.71,16.87,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
22.08,25.71,16.87,14.64,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
25.71,16.87,14.64,13.17,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
16.87,14.64,13.17,15.14,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
14.64,13.17,15.14,18.65,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
13.17,15.14,18.65,14.36,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
15.14,18.65,14.36,20.37,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
